StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 8:26,2.55,17850
71053,WHITE METAL LANTERN,6,12/1/2010 8:26,3.39,17850
84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 8:26,2.75,17850
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 8:26,3.39,17850
84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 8:26,3.39,17850
22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 8:26,7.65,17850
21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 8:26,4.25,17850
22633,HAND WARMER UNION JACK,6,12/1/2010 8:28,1.85,17850
22632,HAND WARMER RED POLKA DOT,6,12/1/2010 8:28,1.85,17850
84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2010 8:34,1.69,13047
22745,POPPY'S PLAYHOUSE BEDROOM ,6,12/1/2010 8:34,2.1,13047
22748,POPPY'S PLAYHOUSE KITCHEN,6,12/1/2010 8:34,2.1,13047
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/1/2010 8:34,3.75,13047
22310,IVORY KNITTED MUG COSY ,6,12/1/2010 8:34,1.65,13047
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/1/2010 8:34,4.25,13047
22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,12/1/2010 8:34,4.95,13047
22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/2010 8:34,9.95,13047
21754,HOME BUILDING BLOCK WORD,3,12/1/2010 8:34,5.95,13047
21755,LOVE BUILDING BLOCK WORD,3,12/1/2010 8:34,5.95,13047
21777,RECIPE BOX WITH METAL HEART,4,12/1/2010 8:34,7.95,13047
48187,DOORMAT NEW ENGLAND,4,12/1/2010 8:34,7.95,13047
22960,JAM MAKING SET WITH JARS,6,12/1/2010 8:34,4.25,13047
22913,RED COAT RACK PARIS FASHION,3,12/1/2010 8:34,4.95,13047
22912,YELLOW COAT RACK PARIS FASHION,3,12/1/2010 8:34,4.95,13047
22914,BLUE COAT RACK PARIS FASHION,3,12/1/2010 8:34,4.95,13047
21756,BATH BUILDING BLOCK WORD,3,12/1/2010 8:35,5.95,13047
22728,ALARM CLOCK BAKELIKE PINK,24,12/1/2010 8:45,3.75,12583
22727,ALARM CLOCK BAKELIKE RED ,24,12/1/2010 8:45,3.75,12583
22726,ALARM CLOCK BAKELIKE GREEN,12,12/1/2010 8:45,3.75,12583
21724,PANDA AND BUNNIES STICKER SHEET,12,12/1/2010 8:45,0.85,12583
21883,STARS GIFT TAPE ,24,12/1/2010 8:45,0.65,12583
10002,INFLATABLE POLITICAL GLOBE ,48,12/1/2010 8:45,0.85,12583
21791,VINTAGE HEADS AND TAILS CARD GAME ,24,12/1/2010 8:45,1.25,12583
21035,SET/2 RED RETROSPOT TEA TOWELS ,18,12/1/2010 8:45,2.95,12583
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,12/1/2010 8:45,2.95,12583
22629,SPACEBOY LUNCH BOX ,24,12/1/2010 8:45,1.95,12583
22659,LUNCH BOX I LOVE LONDON,24,12/1/2010 8:45,1.95,12583
